rank,model,accuracy,precision,recall,f1,roc_auc,pr_auc
1,GCN,0.6424625098658248,0.6353787031357125,0.6330266283728682,0.6336965408172839,0.6732186545504277,0.7160499129867179
2,GETE (static α=0.608),0.6353591160220995,0.6274401913875598,0.621423252845442,0.6219053746105074,0.6638630135598543,0.7089167559334704
3,"GETE (dynamic fusion, mixed)",0.6345698500394633,0.6266168036577953,0.6213346097932844,0.6218922115548853,0.6645658263305323,0.7092405597165872
4,GAT,0.6314127861089187,0.6261925990852122,0.6268925291635641,0.6264525973611924,0.659339685241185,0.7078396117918485
5,GraphSAGE,0.6290449881610103,0.620971282238888,0.6172481650888204,0.6178346810422282,0.6609175315695899,0.7044687462045771
6,BERT,0.6274664561957379,0.6190423785922352,0.6109545083856327,0.6106918730307528,0.6518024931491584,0.6996961506877293
7,"GETE (dynamic fusion, head)",0.6266771902131019,0.6199118650975597,0.6192249051519343,0.6195009184051179,0.6582759686152941,0.7035429651115619
8,DistilRoBERTa,0.6172059984214681,0.6107279657922908,0.5906375208311173,0.5835877342719231,0.6577947634750102,0.7032289857255103
